global_epoch,stage,train_loss,val_loss,train_roc_auc,val_roc_auc,val_sensitivity_at_0_5,val_specificity_at_0_5,val_f1_at_0_5,head_lr,backbone_lr
1,warmup,0.5247309487077254,0.48607938438653947,0.5518900343642612,0.7777777777777778,0.7916666666666666,0.7333333333333333,0.8085106382978723,0.001,0.0
2,warmup,0.5060583330407927,0.456212417781353,0.6603092783505154,0.9,0.875,0.8666666666666667,0.8936170212765957,0.0009045084971874737,0.0
3,warmup,0.4837200592590284,0.46547841280698776,0.7333333333333334,0.8777777777777778,0.5833333333333334,0.8666666666666667,0.7,0.0006545084971874737,0.0
4,warmup,0.48523837497717215,0.45112007558345796,0.6987972508591066,0.9333333333333333,0.8333333333333334,0.8,0.851063829787234,0.00034549150281252633,0.0
5,warmup,0.4667628196221364,0.467246450483799,0.7652920962199313,0.8833333333333333,0.5,0.9333333333333333,0.6486486486486487,9.549150281252633e-05,0.0
6,finetune,0.47792094568663007,0.4288117289543152,0.7281786941580756,0.938888888888889,0.75,0.9333333333333333,0.8372093023255814,0.0001,1e-05
7,finetune,0.4236689021315756,0.409391313791275,0.8226804123711341,0.9416666666666668,0.6666666666666666,0.9333333333333333,0.7804878048780488,9.890738003669029e-05,9.890738003669029e-06
8,finetune,0.43653056308438504,0.3819309055805206,0.7986254295532645,0.9472222222222223,0.625,0.9333333333333333,0.75,9.567727288213005e-05,9.567727288213005e-06
9,finetune,0.3782362133453164,0.3573289655148983,0.8604810996563574,0.9527777777777778,0.6666666666666666,0.9333333333333333,0.7804878048780488,9.045084971874738e-05,9.045084971874738e-06
10,finetune,0.38212024043255216,0.3519196309149265,0.8568728522336769,0.9527777777777778,0.6666666666666666,0.9333333333333333,0.7804878048780488,8.345653031794292e-05,8.345653031794292e-06
11,finetune,0.3581823346594089,0.32856170684099195,0.8647766323024054,0.9527777777777778,0.7083333333333334,0.9333333333333333,0.8095238095238095,7.500000000000001e-05,7.5e-06
12,finetune,0.35953631117657014,0.344220931828022,0.8666666666666667,0.9277777777777778,0.6666666666666666,0.9333333333333333,0.7804878048780488,6.545084971874738e-05,6.545084971874738e-06
13,finetune,0.3149136412370054,0.33999074175953864,0.902233676975945,0.9305555555555556,0.6666666666666666,0.9333333333333333,0.7804878048780488,5.522642316338269e-05,5.522642316338269e-06
14,finetune,0.32144574385985164,0.31595635376870634,0.8989690721649485,0.9500000000000001,0.7083333333333334,0.9333333333333333,0.8095238095238095,4.4773576836617344e-05,4.477357683661735e-06
15,finetune,0.3282719127173665,0.26904213298112156,0.8972508591065291,0.9500000000000001,0.8333333333333334,0.9333333333333333,0.8888888888888888,3.454915028125264e-05,3.4549150281252644e-06
16,finetune,0.37364346128475817,0.35810198485851286,0.8644329896907216,0.9388888888888889,0.6666666666666666,0.9333333333333333,0.7804878048780488,2.5000000000000018e-05,2.500000000000002e-06
