global_epoch,stage,train_loss,val_loss,train_roc_auc,val_roc_auc,val_sensitivity_at_0_5,val_specificity_at_0_5,val_f1_at_0_5
1,warmup,0.4881684610360785,0.4689722277224064,0.6907216494845361,0.8055555555555556,1.0,0.26666666666666666,0.8135593220338984
2,warmup,0.37279187925631485,0.3904193863272667,0.881786941580756,0.8333333333333334,0.875,0.6,0.8235294117647058
3,warmup,0.3104702112606809,0.3634729959070683,0.9419243986254295,0.8555555555555556,0.875,0.6666666666666666,0.84
4,warmup,0.30620238312248943,0.3571744879707694,0.9242268041237113,0.8638888888888889,0.875,0.6666666666666666,0.84
5,warmup,0.2854108933972407,0.35295208990573884,0.9388316151202749,0.8638888888888889,0.875,0.6666666666666666,0.84
6,finetune,0.30926839443796045,0.30856925137341024,0.9166666666666666,0.8944444444444444,0.9166666666666666,0.6666666666666666,0.8627450980392157
7,finetune,0.21244257319235255,0.3035556425806135,0.954295532646048,0.9277777777777778,0.9166666666666666,0.6,0.8461538461538461
8,finetune,0.1738265710042884,0.24977851866278797,0.977147766323024,0.9305555555555556,0.7916666666666666,0.8666666666666667,0.8444444444444444
9,finetune,0.10548134070719427,0.4641278285402223,0.9893470790378007,0.95,0.9583333333333334,0.6,0.8679245283018868
10,finetune,0.07563239220924722,0.25811596897838174,0.99553264604811,0.9416666666666667,0.875,0.8,0.875
11,finetune,0.04327095543915595,0.3113952536979923,0.9989690721649485,0.9472222222222222,0.9583333333333334,0.8,0.92
12,finetune,0.04869425398831055,0.2680651622620644,0.9979381443298969,0.9472222222222223,0.875,0.8,0.875
13,finetune,0.03428409801747449,0.39814113825923414,0.9994845360824742,0.9500000000000001,0.9583333333333334,0.7333333333333333,0.9019607843137255
14,finetune,0.021508931271478394,0.3718943005816982,1.0,0.9527777777777778,0.9583333333333334,0.8,0.92
15,finetune,0.02578761774073635,0.33354455740918637,0.9996563573883162,0.9500000000000001,0.9583333333333334,0.8,0.92
16,finetune,0.023222685968201266,0.30642611786097407,1.0,0.9444444444444445,0.875,0.8,0.875
17,finetune,0.016323247421208675,0.3285665585375682,1.0,0.9500000000000001,0.9583333333333334,0.8,0.92
18,finetune,0.007362480166377765,0.3421419489146501,1.0,0.9500000000000001,0.9583333333333334,0.8,0.92
19,finetune,0.00599985066041939,0.3424683902987454,1.0,0.9500000000000001,0.9583333333333334,0.8,0.92
