global_epoch,stage,train_loss,val_loss,train_roc_auc,val_roc_auc,val_sensitivity_at_0_5,val_specificity_at_0_5,val_f1_at_0_5
1,warmup,0.5009491781775768,0.4823738098144531,0.7053819444444445,0.7706666666666666,0.36,0.9333333333333333,0.5142857142857142
2,warmup,0.38340802242358524,0.4232396736741066,0.8739583333333334,0.8186666666666667,0.68,0.8,0.7555555555555555
3,warmup,0.307123229576227,0.40471011511981486,0.9234375,0.8106666666666666,0.8,0.6666666666666666,0.8
4,warmup,0.2746151669953878,0.39932800009846686,0.9531249999999999,0.8213333333333334,0.8,0.6666666666666666,0.8
5,warmup,0.25727132937082875,0.39790112152695656,0.9675347222222223,0.8213333333333334,0.8,0.6666666666666666,0.8
6,finetune,0.3192696359951813,0.4338279962539673,0.8928819444444445,0.8160000000000001,0.8,0.7333333333333333,0.8163265306122449
7,finetune,0.15419065211123476,0.5142464797012508,0.9762152777777778,0.8186666666666667,0.8,0.8,0.8333333333333334
8,finetune,0.12208592920871571,0.5590579566080123,0.9850694444444443,0.8346666666666667,0.84,0.7333333333333333,0.84
9,finetune,0.07125940446283681,0.5740990093443543,0.996875,0.8613333333333333,0.84,0.6666666666666666,0.8235294117647058
10,finetune,0.06980229156891792,0.6537842104909941,0.996875,0.8613333333333333,0.88,0.6666666666666666,0.8461538461538461
11,finetune,0.021655499341133505,0.6826287727046292,1.0,0.8613333333333333,0.88,0.6666666666666666,0.8461538461538461
12,finetune,0.03356094003818445,0.7113344495301135,0.9993055555555556,0.856,0.84,0.6666666666666666,0.8235294117647058
13,finetune,0.035683509251938604,0.6967666469223331,0.9986111111111111,0.8613333333333333,0.8,0.7333333333333333,0.8163265306122449
14,finetune,0.013817730738829153,0.7919889367214636,1.0,0.8506666666666667,0.88,0.6666666666666666,0.8461538461538461
