model,oof_samples,roc_auc,roc_auc_ci_lower,roc_auc_ci_upper,pr_auc,sensitivity_at_0_5,specificity_at_0_5,false_negatives_at_0_5,false_positives_at_0_5,brier_score_raw
efficientnet_v2_s,196,0.933443526170799,0.8938809400826447,0.96575540346795,0.9528003725765215,0.6776859504132231,0.9333333333333333,39,5,0.14418413282702866
efficientnet_b0,196,0.8975206611570248,0.8540796661988772,0.9356078359721416,0.9339816881645898,0.8264462809917356,0.7866666666666666,21,16,0.14725845246783628
convnext_tiny,196,0.9323415977961432,0.8963358558548811,0.9655585846626787,0.9508199533567243,0.9090909090909091,0.8533333333333334,11,11,0.09288649818772109
