model_a,model_b,metric,model_a_score,model_b_score,delta_a_minus_b,ci95_lower,ci95_upper,n_valid_bootstrap,challenger_significantly_better
efficientnet_v2_s,convnext_tiny,roc_auc,0.933443526170799,0.9323415977961432,0.0011019283746557251,-0.02561545164053145,0.028205773458289948,5000,False
efficientnet_v2_s,convnext_tiny,pr_auc,0.9528003725765215,0.9508199533567243,0.0019804192197971915,-0.01984476970439941,0.023666726273048357,5000,False
efficientnet_v2_s,efficientnet_b0,roc_auc,0.933443526170799,0.8975206611570248,0.035922865013774175,-0.0007841672345902189,0.07568557713569976,5000,False
efficientnet_v2_s,efficientnet_b0,pr_auc,0.9528003725765215,0.9339816881645898,0.018818684411931685,-0.0075745125436781705,0.04779800442097806,5000,False
