candidate_role,criterion,threshold,sensitivity,specificity,precision_ppv,negative_predictive_value,f1,accuracy,tp,tn,fp,fn
T_low_candidate,sensitivity >= 0.90,0.24,0.9256198347107438,0.8133333333333334,0.8888888888888888,0.8714285714285714,0.9068825910931174,0.8826530612244898,112,61,14,9
T_low_candidate,sensitivity >= 0.95,0.17,0.9504132231404959,0.7066666666666667,0.8394160583941606,0.8983050847457628,0.8914728682170543,0.8571428571428571,115,53,22,6
T_high_candidate,specificity >= 0.90,0.28,0.8760330578512396,0.9066666666666666,0.9380530973451328,0.8192771084337349,0.905982905982906,0.8877551020408163,106,68,7,15
T_high_candidate,specificity >= 0.95,0.57,0.6528925619834711,0.96,0.9634146341463414,0.631578947368421,0.7783251231527094,0.7704081632653061,79,72,3,42
