fold,validation_samples,threshold,accuracy,precision_ppv,recall_sensitivity,specificity,negative_predictive_value,f1,roc_auc,pr_auc,brier_score,expected_calibration_error_10bin,tp,tn,fp,fn
0,39,0.5,0.9230769230769231,0.9565217391304348,0.9166666666666666,0.9333333333333333,0.875,0.9361702127659575,0.9527777777777777,0.9721684809478421,0.07044598851533755,0.083717116757702,22,14,1,2
1,39,0.5,0.9230769230769231,0.92,0.9583333333333334,0.8666666666666667,0.9285714285714286,0.9387755102040817,0.9722222222222222,0.9825782490456401,0.06391924955600066,0.09804388596855391,23,13,2,1
2,39,0.5,0.8974358974358975,0.8846153846153846,0.9583333333333334,0.8,0.9230769230769231,0.92,0.9527777777777778,0.9715396235393965,0.10465987515739965,0.1290220837198341,23,12,3,1
3,40,0.5,0.775,0.8076923076923077,0.84,0.6666666666666666,0.7142857142857143,0.8235294117647058,0.8613333333333333,0.9007534752388353,0.1734563365092463,0.20450815298536323,21,10,5,4
4,39,0.5,0.9230769230769231,1.0,0.875,1.0,0.8333333333333334,0.9333333333333333,0.9944444444444445,0.9965972222222221,0.04988514791032571,0.09931177652190225,21,15,0,3
