global_epoch,stage,train_loss,val_loss,train_roc_auc,val_roc_auc,val_sensitivity_at_0_5,val_specificity_at_0_5,val_f1_at_0_5,head_lr,backbone_lr
1,warmup,0.5237408789652812,0.5042282953858376,0.5647766323024055,0.6527777777777778,0.5833333333333334,0.5333333333333333,0.6222222222222222,0.001,0.0
2,warmup,0.49788150040409235,0.48640627786517143,0.6891752577319588,0.7,0.5833333333333334,0.6666666666666666,0.6511627906976745,0.0009045084971874737,0.0
3,warmup,0.4847537331943271,0.4955739498138428,0.7144329896907217,0.7,0.4166666666666667,0.8,0.5405405405405406,0.0006545084971874737,0.0
4,warmup,0.47639102535911754,0.47388556972146034,0.7324742268041237,0.7694444444444445,0.375,0.8,0.5,0.00034549150281252633,0.0
5,warmup,0.46794536351403104,0.49118649363517763,0.7585910652920962,0.6944444444444444,0.2916666666666667,0.9333333333333333,0.4375,9.549150281252633e-05,0.0
6,finetune,0.4791231757100624,0.4609528496861458,0.7173539518900345,0.7694444444444444,0.5,0.6666666666666666,0.5853658536585366,0.0001,1e-05
7,finetune,0.42714328780958927,0.4363309800624847,0.8116838487972509,0.8166666666666667,0.5416666666666666,0.8,0.65,9.890738003669029e-05,9.890738003669029e-06
8,finetune,0.44086521920524063,0.4053418725728989,0.7867697594501718,0.8916666666666666,0.75,0.8,0.8,9.567727288213005e-05,9.567727288213005e-06
9,finetune,0.358807371811399,0.378325080871582,0.8783505154639175,0.913888888888889,0.6666666666666666,0.9333333333333333,0.7804878048780488,9.045084971874738e-05,9.045084971874738e-06
10,finetune,0.3909526507405541,0.35582888796925544,0.8379725085910653,0.9166666666666667,0.7083333333333334,0.8666666666666667,0.7906976744186046,8.345653031794292e-05,8.345653031794292e-06
11,finetune,0.3732411699676061,0.33428381010890007,0.8556701030927836,0.913888888888889,0.6666666666666666,0.9333333333333333,0.7804878048780488,7.500000000000001e-05,7.5e-06
12,finetune,0.3587124889857973,0.32132083997130395,0.86786941580756,0.9583333333333334,0.625,0.9333333333333333,0.75,6.545084971874738e-05,6.545084971874738e-06
13,finetune,0.3191415365266649,0.3468009170144796,0.8991408934707903,0.9222222222222223,0.6666666666666666,0.9333333333333333,0.7804878048780488,5.522642316338269e-05,5.522642316338269e-06
14,finetune,0.3268400514262575,0.30290032774209974,0.8986254295532646,0.9305555555555556,0.6666666666666666,0.9333333333333333,0.7804878048780488,4.4773576836617344e-05,4.477357683661735e-06
15,finetune,0.2995582749194737,0.29043545816093685,0.91340206185567,0.9472222222222222,0.875,0.9333333333333333,0.9130434782608695,3.454915028125264e-05,3.4549150281252644e-06
16,finetune,0.3756604581788371,0.320426008105278,0.861512027491409,0.9305555555555556,0.6666666666666666,0.9333333333333333,0.7804878048780488,2.5000000000000018e-05,2.500000000000002e-06
17,finetune,0.3676933517231594,0.3273161441087723,0.8695876288659794,0.9305555555555556,0.6666666666666666,0.9333333333333333,0.7804878048780488,1.654346968205711e-05,1.654346968205711e-06
