fold,validation_samples,threshold,accuracy,precision_ppv,recall_sensitivity,specificity,negative_predictive_value,f1,roc_auc,pr_auc,brier_score,expected_calibration_error_10bin,tp,tn,fp,fn
0,39,0.5,0.8717948717948718,0.9130434782608695,0.875,0.8666666666666667,0.8125,0.8936170212765957,0.9444444444444444,0.9685589504430081,0.1295969129700157,0.17473606192148647,21,13,2,3
1,39,0.5,0.7692307692307693,0.8947368421052632,0.7083333333333334,0.8666666666666667,0.65,0.7906976744186046,0.9111111111111111,0.9337106068146723,0.15454856064994962,0.19608697218772692,17,13,2,7
2,39,0.5,0.7948717948717948,0.8076923076923077,0.875,0.6666666666666666,0.7692307692307693,0.84,0.8833333333333333,0.924662201964126,0.16022175978190162,0.17594843835402757,21,10,5,3
3,40,0.5,0.725,0.7692307692307693,0.8,0.6,0.6428571428571429,0.7843137254901961,0.8640000000000001,0.9285683044630414,0.1561073917079034,0.14205314964056015,20,9,6,5
4,39,0.5,0.8974358974358975,0.9545454545454546,0.875,0.9333333333333333,0.8235294117647058,0.9130434782608695,0.9444444444444444,0.9693091419626505,0.1355907413514607,0.22006079363517275,21,14,1,3
