global_epoch,stage,train_loss,val_loss,train_roc_auc,val_roc_auc,val_sensitivity_at_0_5,val_specificity_at_0_5,val_f1_at_0_5
1,warmup,0.5219425711876307,0.5278509929776192,0.5913194444444445,0.608,0.24,0.9333333333333333,0.375
2,warmup,0.504243332415055,0.49373096972703934,0.6696180555555555,0.712,0.44,0.8,0.5641025641025641
3,warmup,0.4500280253780194,0.4559176616370678,0.7901041666666667,0.7546666666666666,0.76,0.5333333333333333,0.7450980392156863
4,warmup,0.4409246719800509,0.4473980307579041,0.7939236111111111,0.776,0.88,0.4666666666666667,0.8
5,warmup,0.44346075313977706,0.45009331330657004,0.7979166666666667,0.776,0.68,0.6666666666666666,0.723404255319149
6,finetune,0.4557525423856882,0.4515214256942272,0.757986111111111,0.7573333333333334,0.6,0.6666666666666666,0.6666666666666666
7,finetune,0.415681755504547,0.4328594826161861,0.8329861111111112,0.792,0.76,0.6,0.76
8,finetune,0.4217875116528609,0.433907613158226,0.8185763888888888,0.784,0.8,0.6,0.7843137254901961
9,finetune,0.42343048464793426,0.4337955370545387,0.815625,0.8026666666666666,0.8,0.6,0.7843137254901961
10,finetune,0.3871864367945072,0.41619714684784415,0.8586805555555556,0.7893333333333334,0.68,0.6,0.7083333333333334
11,finetune,0.3977410398805753,0.3990263991057873,0.8381944444444445,0.8293333333333333,0.76,0.6666666666666666,0.7755102040816326
12,finetune,0.3776383073284076,0.4098711606115103,0.8722222222222222,0.8106666666666666,0.72,0.6666666666666666,0.75
13,finetune,0.3911338045428961,0.38402913361787794,0.8447916666666666,0.8373333333333335,0.68,0.6666666666666666,0.723404255319149
14,finetune,0.3583270706809484,0.395672395080328,0.8803819444444444,0.8320000000000001,0.68,0.8,0.7555555555555555
15,finetune,0.3750574032847698,0.39159559048712256,0.8600694444444444,0.8533333333333334,0.76,0.6666666666666666,0.7755102040816326
16,finetune,0.39645390279400045,0.3880225710570812,0.829861111111111,0.84,0.64,0.8,0.7272727272727273
17,finetune,0.36602150018398577,0.3752240166068077,0.8701388888888888,0.8533333333333334,0.72,0.7333333333333333,0.7659574468085106
18,finetune,0.30988305396376514,0.386510207131505,0.9237847222222222,0.8640000000000001,0.8,0.6,0.7843137254901961
19,finetune,0.3628993348624462,0.38325781710445883,0.8663194444444445,0.8373333333333334,0.76,0.6666666666666666,0.7755102040816326
20,finetune,0.3410060854676442,0.3848945997655392,0.8939236111111111,0.8346666666666667,0.76,0.6666666666666666,0.7755102040816326
