global_epoch,stage,train_loss,val_loss,train_roc_auc,val_roc_auc,val_sensitivity_at_0_5,val_specificity_at_0_5,val_f1_at_0_5
1,warmup,0.4912592749806899,0.3998214386403561,0.679725085910653,0.9138888888888889,0.9583333333333334,0.6666666666666666,0.8846153846153846
2,warmup,0.3783710837552819,0.31951876673847435,0.8852233676975944,0.9305555555555556,0.8333333333333334,0.8,0.851063829787234
3,warmup,0.32216194979374924,0.30455007031559944,0.9388316151202748,0.9333333333333333,0.75,0.8666666666666667,0.8181818181818182
4,warmup,0.314868537261139,0.28986666537821293,0.9283505154639176,0.9388888888888889,0.7916666666666666,0.8666666666666667,0.8444444444444444
5,warmup,0.29495162158449995,0.2892500377260149,0.9376288659793814,0.9388888888888889,0.75,0.8666666666666667,0.8181818181818182
6,finetune,0.3135689180344343,0.21489028744399546,0.9192439862542955,0.9611111111111112,0.875,0.9333333333333333,0.9130434782608695
7,finetune,0.20467994630902628,0.16480690293828956,0.9591065292096219,0.9694444444444446,0.875,0.8666666666666667,0.8936170212765957
8,finetune,0.1596089385721031,0.2873217827465851,0.9795532646048111,0.963888888888889,0.6666666666666666,1.0,0.8
9,finetune,0.11616129903719595,0.1604971427746932,0.9874570446735396,0.9722222222222222,0.9583333333333334,0.8666666666666667,0.9387755102040817
10,finetune,0.0970932299855513,0.20965095096617006,0.993298969072165,0.9666666666666667,0.75,1.0,0.8571428571428571
11,finetune,0.04408656728094373,0.16279139250291336,0.9986254295532646,0.9666666666666667,0.9166666666666666,0.8666666666666667,0.9166666666666666
12,finetune,0.06281885465192963,0.23598172539932422,0.9958762886597938,0.9666666666666667,0.75,0.9333333333333333,0.8372093023255814
13,finetune,0.032045437478573836,0.18319677806284745,0.9991408934707904,0.9722222222222223,0.9583333333333334,0.8666666666666667,0.9387755102040817
14,finetune,0.029796100160972026,0.1808311606742791,1.0,0.9666666666666667,0.875,0.8666666666666667,0.8936170212765957
